model,mean,std,count,rank,criterion
Claude_Sonnet_4.5,4.084,0.875,190,1,Grammatical Accuracy
mistralai_Ministral-8B-Instruct-2410,4.079,0.931,190,2,Grammatical Accuracy
Llama-3.2-1B-Instruct-FineTuned,4.032,0.89,190,3,Grammatical Accuracy
Gemini_Pro_2.5,3.979,0.897,190,4,Grammatical Accuracy
Llama-3.2-8B-Instruct,3.921,0.86,190,5,Grammatical Accuracy
Llama-3.2-1B-Instruct,3.847,0.944,190,6,Grammatical Accuracy
mistralai_Ministral-8B-Instruct-2410,4.174,0.814,190,1,Level Appropriateness
Claude_Sonnet_4.5,4.142,0.882,190,2,Level Appropriateness
Llama-3.2-1B-Instruct-FineTuned,4.0,0.903,190,3,Level Appropriateness
Gemini_Pro_2.5,3.942,0.892,190,4,Level Appropriateness
Llama-3.2-8B-Instruct,3.895,0.937,190,5,Level Appropriateness
Llama-3.2-1B-Instruct,3.8,0.961,190,6,Level Appropriateness
Claude_Sonnet_4.5,3.974,0.962,190,1,Naturalness
mistralai_Ministral-8B-Instruct-2410,3.816,1.06,190,2,Naturalness
Gemini_Pro_2.5,3.711,1.016,190,3,Naturalness
Llama-3.2-1B-Instruct-FineTuned,3.674,1.126,190,4,Naturalness
Llama-3.2-1B-Instruct,3.563,1.056,190,5,Naturalness
Llama-3.2-8B-Instruct,3.563,1.147,190,6,Naturalness
Claude_Sonnet_4.5,4.153,0.869,190,1,Word Usage
mistralai_Ministral-8B-Instruct-2410,4.111,0.893,190,2,Word Usage
Gemini_Pro_2.5,3.989,0.903,190,3,Word Usage
Llama-3.2-1B-Instruct-FineTuned,3.979,0.943,190,4,Word Usage
Llama-3.2-8B-Instruct,3.947,0.93,190,5,Word Usage
Llama-3.2-1B-Instruct,3.916,0.881,190,6,Word Usage
