word,model,rating
earthquake,Claude_Sonnet_4.5,3.76
earthquake,Gemini_Pro_2.5,3.927
earthquake,Llama-3.2-1B-Instruct,3.802
earthquake,Llama-3.2-1B-Instruct-FineTuned,3.885
earthquake,Llama-3.2-8B-Instruct,3.906
earthquake,mistralai_Ministral-8B-Instruct-2410,3.677
expand,Claude_Sonnet_4.5,3.969
expand,Gemini_Pro_2.5,4.104
expand,Llama-3.2-1B-Instruct,3.635
expand,Llama-3.2-1B-Instruct-FineTuned,3.906
expand,Llama-3.2-8B-Instruct,4.01
expand,mistralai_Ministral-8B-Instruct-2410,4.052
fancy,Claude_Sonnet_4.5,3.552
fancy,Gemini_Pro_2.5,4.073
fancy,Llama-3.2-1B-Instruct,3.74
fancy,Llama-3.2-1B-Instruct-FineTuned,4.01
fancy,Llama-3.2-8B-Instruct,3.76
fancy,mistralai_Ministral-8B-Instruct-2410,3.802
frighten,Claude_Sonnet_4.5,3.729
frighten,Gemini_Pro_2.5,3.438
frighten,Llama-3.2-1B-Instruct,3.615
frighten,Llama-3.2-1B-Instruct-FineTuned,3.979
frighten,Llama-3.2-8B-Instruct,4.031
frighten,mistralai_Ministral-8B-Instruct-2410,3.521
imaginary,Claude_Sonnet_4.5,3.979
imaginary,Gemini_Pro_2.5,3.917
imaginary,Llama-3.2-1B-Instruct,4.083
imaginary,Llama-3.2-1B-Instruct-FineTuned,4.177
imaginary,Llama-3.2-8B-Instruct,4.052
imaginary,mistralai_Ministral-8B-Instruct-2410,4.281
issue,Claude_Sonnet_4.5,4.312
issue,Gemini_Pro_2.5,4.323
issue,Llama-3.2-1B-Instruct,3.354
issue,Llama-3.2-1B-Instruct-FineTuned,4.0
issue,Llama-3.2-8B-Instruct,3.594
issue,mistralai_Ministral-8B-Instruct-2410,3.917
obvious,Claude_Sonnet_4.5,4.073
obvious,Gemini_Pro_2.5,4.302
obvious,Llama-3.2-1B-Instruct,3.615
obvious,Llama-3.2-1B-Instruct-FineTuned,4.24
obvious,Llama-3.2-8B-Instruct,4.333
obvious,mistralai_Ministral-8B-Instruct-2410,4.26
poet,Claude_Sonnet_4.5,4.24
poet,Gemini_Pro_2.5,4.281
poet,Llama-3.2-1B-Instruct,4.042
poet,Llama-3.2-1B-Instruct-FineTuned,4.115
poet,Llama-3.2-8B-Instruct,4.156
poet,mistralai_Ministral-8B-Instruct-2410,4.375
religion,Claude_Sonnet_4.5,4.156
religion,Gemini_Pro_2.5,4.229
religion,Llama-3.2-1B-Instruct,3.812
religion,Llama-3.2-1B-Instruct-FineTuned,4.208
religion,Llama-3.2-8B-Instruct,3.917
religion,mistralai_Ministral-8B-Instruct-2410,3.99
sort,Claude_Sonnet_4.5,4.083
sort,Gemini_Pro_2.5,4.115
sort,Llama-3.2-1B-Instruct,3.969
sort,Llama-3.2-1B-Instruct-FineTuned,3.958
sort,Llama-3.2-8B-Instruct,3.958
sort,mistralai_Ministral-8B-Instruct-2410,4.198
