word,model,sentence_label,sentence,criterion,criterion_tr,rating,participant_id
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Word Usage,Kelime Kullanımı,3,0
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Word Usage,Kelime Kullanımı,2,1
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Word Usage,Kelime Kullanımı,3,2
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Word Usage,Kelime Kullanımı,1,3
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Word Usage,Kelime Kullanımı,3,4
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Word Usage,Kelime Kullanımı,5,5
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Word Usage,Kelime Kullanımı,4,6
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Word Usage,Kelime Kullanımı,3,7
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Word Usage,Kelime Kullanımı,3,8
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Word Usage,Kelime Kullanımı,4,9
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Word Usage,Kelime Kullanımı,4,10
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Word Usage,Kelime Kullanımı,3,11
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Word Usage,Kelime Kullanımı,4,12
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Word Usage,Kelime Kullanımı,2,13
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Word Usage,Kelime Kullanımı,2,14
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Word Usage,Kelime Kullanımı,1,15
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Level Appropriateness,Anlaşılırlık,2,0
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Level Appropriateness,Anlaşılırlık,2,1
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Level Appropriateness,Anlaşılırlık,3,2
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Level Appropriateness,Anlaşılırlık,3,3
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Level Appropriateness,Anlaşılırlık,4,4
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Level Appropriateness,Anlaşılırlık,5,5
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Level Appropriateness,Anlaşılırlık,4,6
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Level Appropriateness,Anlaşılırlık,4,7
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Level Appropriateness,Anlaşılırlık,5,8
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Level Appropriateness,Anlaşılırlık,5,9
air,Gemini_Pro_2.5,Sentence A,The air is cold today.,Level Appropriateness,Anlaşılırlık,3,10
