word,model,rating
backup,Claude_Sonnet_4.5,3.725
backup,Gemini_Pro_2.5,3.675
backup,Llama-3.2-1B-Instruct,3.975
backup,Llama-3.2-1B-Instruct-FineTuned,4.075
backup,Llama-3.2-8B-Instruct,3.988
backup,mistralai_Ministral-8B-Instruct-2410,3.938
collaborate,Claude_Sonnet_4.5,4.188
collaborate,Gemini_Pro_2.5,4.15
collaborate,Llama-3.2-1B-Instruct,3.825
collaborate,Llama-3.2-1B-Instruct-FineTuned,4.062
collaborate,Llama-3.2-8B-Instruct,4.162
collaborate,mistralai_Ministral-8B-Instruct-2410,4.175
correspond,Claude_Sonnet_4.5,3.9
correspond,Gemini_Pro_2.5,4.15
correspond,Llama-3.2-1B-Instruct,3.938
correspond,Llama-3.2-1B-Instruct-FineTuned,3.988
correspond,Llama-3.2-8B-Instruct,3.762
correspond,mistralai_Ministral-8B-Instruct-2410,3.738
default,Claude_Sonnet_4.5,4.275
default,Gemini_Pro_2.5,3.438
default,Llama-3.2-1B-Instruct,3.838
default,Llama-3.2-1B-Instruct-FineTuned,4.075
default,Llama-3.2-8B-Instruct,4.275
default,mistralai_Ministral-8B-Instruct-2410,3.85
defy,Claude_Sonnet_4.5,3.812
defy,Gemini_Pro_2.5,4.1
defy,Llama-3.2-1B-Instruct,3.988
defy,Llama-3.2-1B-Instruct-FineTuned,3.862
defy,Llama-3.2-8B-Instruct,3.8
defy,mistralai_Ministral-8B-Instruct-2410,3.888
embarrassment,Claude_Sonnet_4.5,3.838
embarrassment,Gemini_Pro_2.5,3.812
embarrassment,Llama-3.2-1B-Instruct,3.725
embarrassment,Llama-3.2-1B-Instruct-FineTuned,3.625
embarrassment,Llama-3.2-8B-Instruct,3.862
embarrassment,mistralai_Ministral-8B-Instruct-2410,3.738
instrumental,Claude_Sonnet_4.5,4.0
instrumental,Gemini_Pro_2.5,3.788
instrumental,Llama-3.2-1B-Instruct,3.488
instrumental,Llama-3.2-1B-Instruct-FineTuned,3.825
instrumental,Llama-3.2-8B-Instruct,4.2
instrumental,mistralai_Ministral-8B-Instruct-2410,3.8
lethal,Claude_Sonnet_4.5,3.875
lethal,Gemini_Pro_2.5,3.862
lethal,Llama-3.2-1B-Instruct,3.8
lethal,Llama-3.2-1B-Instruct-FineTuned,4.175
lethal,Llama-3.2-8B-Instruct,4.162
lethal,mistralai_Ministral-8B-Instruct-2410,4.15
outbreak,Claude_Sonnet_4.5,4.112
outbreak,Gemini_Pro_2.5,3.95
outbreak,Llama-3.2-1B-Instruct,3.825
outbreak,Llama-3.2-1B-Instruct-FineTuned,4.138
outbreak,Llama-3.2-8B-Instruct,4.037
outbreak,mistralai_Ministral-8B-Instruct-2410,3.95
sovereignty,Claude_Sonnet_4.5,4.075
sovereignty,Gemini_Pro_2.5,4.088
sovereignty,Llama-3.2-1B-Instruct,4.325
sovereignty,Llama-3.2-1B-Instruct-FineTuned,3.925
sovereignty,Llama-3.2-8B-Instruct,4.15
sovereignty,mistralai_Ministral-8B-Instruct-2410,3.888
