word,model,sentence_label,sentence,criterion,criterion_tr,rating,participant_id
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,5,0
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,3,1
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,4,2
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,4,3
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,5,4
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,3,5
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,4,6
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,3,7
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,4,8
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,4,9
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,4,10
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,4,11
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,4,12
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,5,13
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,4,14
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,4,15
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,4,16
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,5,17
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,5,18
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Word Usage,Kelime Kullanımı,4,19
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,5,0
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,3,1
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,3,2
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,4,3
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,5,4
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,3,5
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,4,6
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,5,7
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,4,8
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,4,9
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,4,10
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,4,11
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,4,12
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,5,13
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,5,14
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,5,15
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,5,16
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,5,17
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,5,18
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Level Appropriateness,Anlaşılırlık,4,19
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Grammatical Accuracy,Dilbilgisi Doğruluğu,5,0
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Grammatical Accuracy,Dilbilgisi Doğruluğu,3,1
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Grammatical Accuracy,Dilbilgisi Doğruluğu,1,2
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Grammatical Accuracy,Dilbilgisi Doğruluğu,4,3
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Grammatical Accuracy,Dilbilgisi Doğruluğu,5,4
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Grammatical Accuracy,Dilbilgisi Doğruluğu,3,5
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Grammatical Accuracy,Dilbilgisi Doğruluğu,4,6
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Grammatical Accuracy,Dilbilgisi Doğruluğu,3,7
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Grammatical Accuracy,Dilbilgisi Doğruluğu,3,8
backup,mistralai_Ministral-8B-Instruct-2410,Sentence A,"In case of a power outage, having a backup generator is essential for maintaining business operations.",Grammatical Accuracy,Dilbilgisi Doğruluğu,4,9
