word,model,rating
ability,Claude_Sonnet_4.5,3.85
ability,Gemini_Pro_2.5,3.612
ability,Llama-3.2-1B-Instruct,3.4
ability,Llama-3.2-1B-Instruct-FineTuned,3.688
ability,Llama-3.2-8B-Instruct,2.988
ability,mistralai_Ministral-8B-Instruct-2410,3.412
affect,Claude_Sonnet_4.5,4.15
affect,Gemini_Pro_2.5,3.762
affect,Llama-3.2-1B-Instruct,1.888
affect,Llama-3.2-1B-Instruct-FineTuned,3.75
affect,Llama-3.2-8B-Instruct,3.625
affect,mistralai_Ministral-8B-Instruct-2410,3.8
almost,Claude_Sonnet_4.5,3.538
almost,Gemini_Pro_2.5,3.05
almost,Llama-3.2-1B-Instruct,3.625
almost,Llama-3.2-1B-Instruct-FineTuned,3.338
almost,Llama-3.2-8B-Instruct,3.05
almost,mistralai_Ministral-8B-Instruct-2410,2.662
board,Claude_Sonnet_4.5,4.037
board,Gemini_Pro_2.5,4.025
board,Llama-3.2-1B-Instruct,3.338
board,Llama-3.2-1B-Instruct-FineTuned,3.338
board,Llama-3.2-8B-Instruct,4.125
board,mistralai_Ministral-8B-Instruct-2410,3.388
coal,Claude_Sonnet_4.5,3.725
coal,Gemini_Pro_2.5,3.3
coal,Llama-3.2-1B-Instruct,2.875
coal,Llama-3.2-1B-Instruct-FineTuned,2.662
coal,Llama-3.2-8B-Instruct,2.875
coal,mistralai_Ministral-8B-Instruct-2410,3.25
connect,Claude_Sonnet_4.5,3.8
connect,Gemini_Pro_2.5,3.9
connect,Llama-3.2-1B-Instruct,3.362
connect,Llama-3.2-1B-Instruct-FineTuned,2.575
connect,Llama-3.2-8B-Instruct,3.2
connect,mistralai_Ministral-8B-Instruct-2410,3.65
context,Claude_Sonnet_4.5,2.888
context,Gemini_Pro_2.5,3.15
context,Llama-3.2-1B-Instruct,3.462
context,Llama-3.2-1B-Instruct-FineTuned,3.612
context,Llama-3.2-8B-Instruct,3.675
context,mistralai_Ministral-8B-Instruct-2410,3.638
remove,Claude_Sonnet_4.5,3.112
remove,Gemini_Pro_2.5,3.388
remove,Llama-3.2-1B-Instruct,3.2
remove,Llama-3.2-1B-Instruct-FineTuned,3.35
remove,Llama-3.2-8B-Instruct,3.275
remove,mistralai_Ministral-8B-Instruct-2410,3.475
surprised,Claude_Sonnet_4.5,3.875
surprised,Gemini_Pro_2.5,3.625
surprised,Llama-3.2-1B-Instruct,3.275
surprised,Llama-3.2-1B-Instruct-FineTuned,4.037
surprised,Llama-3.2-8B-Instruct,3.562
surprised,mistralai_Ministral-8B-Instruct-2410,3.85
typical,Claude_Sonnet_4.5,3.688
typical,Gemini_Pro_2.5,3.825
typical,Llama-3.2-1B-Instruct,3.638
typical,Llama-3.2-1B-Instruct-FineTuned,3.612
typical,Llama-3.2-8B-Instruct,3.562
typical,mistralai_Ministral-8B-Instruct-2410,3.638
