word,model,sentence_label,sentence,criterion,criterion_tr,rating,participant_id
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,4,0
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,4,1
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,4,2
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,4,3
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,5,4
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,4,5
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,4,6
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,4,7
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,3,8
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,5,9
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,4,10
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,5,11
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,5,12
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,4,13
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,4,14
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,5,15
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,3,16
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,3,17
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,3,18
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,4,19
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,4,20
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,4,21
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,3,22
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Word Usage,Kelime Kullanımı,2,23
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,3,0
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,4,1
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,4,2
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,4,3
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,4,4
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,2,5
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,3,6
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,4,7
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,3,8
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,5,9
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,5,10
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,4,11
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,5,12
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,4,13
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,4,14
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,5,15
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,5,16
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,5,17
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,4,18
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,4,19
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,3,20
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,3,21
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,3,22
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Level Appropriateness,Anlaşılırlık,2,23
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Grammatical Accuracy,Dilbilgisi Doğruluğu,3,0
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Grammatical Accuracy,Dilbilgisi Doğruluğu,4,1
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Grammatical Accuracy,Dilbilgisi Doğruluğu,4,2
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Grammatical Accuracy,Dilbilgisi Doğruluğu,4,3
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Grammatical Accuracy,Dilbilgisi Doğruluğu,5,4
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Grammatical Accuracy,Dilbilgisi Doğruluğu,3,5
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Grammatical Accuracy,Dilbilgisi Doğruluğu,3,6
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Grammatical Accuracy,Dilbilgisi Doğruluğu,4,7
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Grammatical Accuracy,Dilbilgisi Doğruluğu,2,8
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Grammatical Accuracy,Dilbilgisi Doğruluğu,5,9
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Grammatical Accuracy,Dilbilgisi Doğruluğu,3,10
earthquake,mistralai_Ministral-8B-Instruct-2410,Sentence A,"An earthquake hit the city, causing widespread panic among the residents.",Grammatical Accuracy,Dilbilgisi Doğruluğu,5,11
