word,model,rating
air,Claude_Sonnet_4.5,3.906
air,Gemini_Pro_2.5,3.375
air,Llama-3.1-8B-Instruct,3.719
air,Llama-3.2-1B-Instruct,2.328
air,Llama-3.2-1B-Instruct-FineTuned,3.234
air,mistralai_Ministral-8B-Instruct-2410,3.969
amazing,Claude_Sonnet_4.5,4.281
amazing,Gemini_Pro_2.5,4.094
amazing,Llama-3.1-8B-Instruct,4.078
amazing,Llama-3.2-1B-Instruct,4.203
amazing,Llama-3.2-1B-Instruct-FineTuned,3.953
amazing,mistralai_Ministral-8B-Instruct-2410,4.031
animal,Claude_Sonnet_4.5,4.203
animal,Gemini_Pro_2.5,3.547
animal,Llama-3.1-8B-Instruct,3.75
animal,Llama-3.2-1B-Instruct,3.297
animal,Llama-3.2-1B-Instruct-FineTuned,4.062
animal,mistralai_Ministral-8B-Instruct-2410,2.875
ask,Claude_Sonnet_4.5,4.234
ask,Gemini_Pro_2.5,4.031
ask,Llama-3.1-8B-Instruct,4.203
ask,Llama-3.2-1B-Instruct,3.875
ask,Llama-3.2-1B-Instruct-FineTuned,3.078
ask,mistralai_Ministral-8B-Instruct-2410,3.594
but,Claude_Sonnet_4.5,4.094
but,Gemini_Pro_2.5,3.875
but,Llama-3.1-8B-Instruct,3.875
but,Llama-3.2-1B-Instruct,3.766
but,Llama-3.2-1B-Instruct-FineTuned,3.938
but,mistralai_Ministral-8B-Instruct-2410,4.016
car,Claude_Sonnet_4.5,4.078
car,Gemini_Pro_2.5,4.375
car,Llama-3.1-8B-Instruct,3.719
car,Llama-3.2-1B-Instruct,3.5
car,Llama-3.2-1B-Instruct-FineTuned,4.438
car,mistralai_Ministral-8B-Instruct-2410,4.172
computer,Claude_Sonnet_4.5,4.281
computer,Gemini_Pro_2.5,3.641
computer,Llama-3.1-8B-Instruct,3.875
computer,Llama-3.2-1B-Instruct,4.188
computer,Llama-3.2-1B-Instruct-FineTuned,3.984
computer,mistralai_Ministral-8B-Instruct-2410,4.203
drive,Claude_Sonnet_4.5,4.297
drive,Gemini_Pro_2.5,4.172
drive,Llama-3.1-8B-Instruct,3.594
drive,Llama-3.2-1B-Instruct,3.609
drive,Llama-3.2-1B-Instruct-FineTuned,3.844
drive,mistralai_Ministral-8B-Instruct-2410,4.344
eat,Claude_Sonnet_4.5,3.891
eat,Gemini_Pro_2.5,4.062
eat,Llama-3.1-8B-Instruct,3.781
eat,Llama-3.2-1B-Instruct,4.234
eat,Llama-3.2-1B-Instruct-FineTuned,4.172
eat,mistralai_Ministral-8B-Instruct-2410,3.562
funny,Claude_Sonnet_4.5,3.719
funny,Gemini_Pro_2.5,3.719
funny,Llama-3.1-8B-Instruct,3.719
funny,Llama-3.2-1B-Instruct,3.391
funny,Llama-3.2-1B-Instruct-FineTuned,3.734
funny,mistralai_Ministral-8B-Instruct-2410,4.047
