model,mean,std,count,rank,criterion
Llama-3.2-1B-Instruct-FineTuned,4.065,0.869,200,1,Grammatical Accuracy
Claude_Sonnet_4.5,4.05,0.819,200,2,Grammatical Accuracy
Llama-3.2-8B-Instruct,4.03,0.966,200,3,Grammatical Accuracy
Gemini_Pro_2.5,3.99,0.839,200,4,Grammatical Accuracy
Llama-3.2-1B-Instruct,3.94,0.793,200,5,Grammatical Accuracy
mistralai_Ministral-8B-Instruct-2410,3.935,0.815,200,6,Grammatical Accuracy
Llama-3.2-8B-Instruct,4.105,0.888,200,1,Level Appropriateness
Claude_Sonnet_4.5,4.04,0.82,200,2,Level Appropriateness
Llama-3.2-1B-Instruct-FineTuned,4.02,0.891,200,3,Level Appropriateness
mistralai_Ministral-8B-Instruct-2410,4.015,0.836,200,4,Level Appropriateness
Llama-3.2-1B-Instruct,3.965,0.773,200,5,Level Appropriateness
Gemini_Pro_2.5,3.955,0.828,200,6,Level Appropriateness
Llama-3.2-8B-Instruct,3.96,0.929,200,1,Naturalness
Claude_Sonnet_4.5,3.845,0.957,200,2,Naturalness
Llama-3.2-1B-Instruct-FineTuned,3.82,0.976,200,3,Naturalness
mistralai_Ministral-8B-Instruct-2410,3.785,0.929,200,4,Naturalness
Llama-3.2-1B-Instruct,3.71,0.944,200,5,Naturalness
Gemini_Pro_2.5,3.705,1.06,200,6,Naturalness
Llama-3.2-8B-Instruct,4.065,0.897,200,1,Word Usage
Llama-3.2-1B-Instruct-FineTuned,3.995,0.911,200,2,Word Usage
Claude_Sonnet_4.5,3.985,0.882,200,3,Word Usage
Gemini_Pro_2.5,3.955,0.893,200,4,Word Usage
mistralai_Ministral-8B-Instruct-2410,3.91,0.875,200,5,Word Usage
Llama-3.2-1B-Instruct,3.875,0.856,200,6,Word Usage
