model,criterion,mean,std,count
Claude_Sonnet_4.5,Grammatical Accuracy,4.075,0.968,160
Claude_Sonnet_4.5,Level Appropriateness,4.144,0.889,160
Claude_Sonnet_4.5,Naturalness,4.044,1.03,160
Claude_Sonnet_4.5,Word Usage,4.131,0.87,160
Gemini_Pro_2.5,Grammatical Accuracy,3.831,1.123,160
Gemini_Pro_2.5,Level Appropriateness,4.012,0.99,160
Gemini_Pro_2.5,Naturalness,3.85,1.094,160
Gemini_Pro_2.5,Word Usage,3.862,1.049,160
Llama-3.1-8B-Instruct,Grammatical Accuracy,3.731,1.126,160
Llama-3.1-8B-Instruct,Level Appropriateness,3.912,0.974,160
Llama-3.1-8B-Instruct,Naturalness,3.819,1.033,160
Llama-3.1-8B-Instruct,Word Usage,3.862,1.012,160
Llama-3.2-1B-Instruct,Grammatical Accuracy,3.594,1.235,160
Llama-3.2-1B-Instruct,Level Appropriateness,3.675,1.163,160
Llama-3.2-1B-Instruct,Naturalness,3.612,1.239,160
Llama-3.2-1B-Instruct,Word Usage,3.675,1.169,160
Llama-3.2-1B-Instruct-FineTuned,Grammatical Accuracy,3.762,1.19,160
Llama-3.2-1B-Instruct-FineTuned,Level Appropriateness,3.881,1.042,160
Llama-3.2-1B-Instruct-FineTuned,Naturalness,3.825,1.096,160
Llama-3.2-1B-Instruct-FineTuned,Word Usage,3.906,0.989,160
mistralai_Ministral-8B-Instruct-2410,Grammatical Accuracy,3.8,1.137,160
mistralai_Ministral-8B-Instruct-2410,Level Appropriateness,4.0,1.003,160
mistralai_Ministral-8B-Instruct-2410,Naturalness,3.819,1.138,160
mistralai_Ministral-8B-Instruct-2410,Word Usage,3.906,1.057,160
