model,mean,std,count,rank,criterion
Claude_Sonnet_4.5,3.695,1.09,200,1,Grammatical Accuracy
Gemini_Pro_2.5,3.53,1.151,200,2,Grammatical Accuracy
mistralai_Ministral-8B-Instruct-2410,3.465,1.102,200,3,Grammatical Accuracy
Llama-3.2-8B-Instruct,3.45,1.065,200,4,Grammatical Accuracy
Llama-3.2-1B-Instruct-FineTuned,3.425,1.145,200,5,Grammatical Accuracy
Llama-3.2-1B-Instruct,3.28,1.166,200,6,Grammatical Accuracy
Claude_Sonnet_4.5,3.82,1.045,200,1,Level Appropriateness
Gemini_Pro_2.5,3.755,1.049,200,2,Level Appropriateness
mistralai_Ministral-8B-Instruct-2410,3.67,1.008,200,3,Level Appropriateness
Llama-3.2-8B-Instruct,3.53,1.098,200,4,Level Appropriateness
Llama-3.2-1B-Instruct-FineTuned,3.52,1.173,200,5,Level Appropriateness
Llama-3.2-1B-Instruct,3.365,1.22,200,6,Level Appropriateness
Claude_Sonnet_4.5,3.505,1.134,200,1,Naturalness
Gemini_Pro_2.5,3.39,1.093,200,2,Naturalness
mistralai_Ministral-8B-Instruct-2410,3.27,1.088,200,3,Naturalness
Llama-3.2-1B-Instruct-FineTuned,3.23,1.218,200,4,Naturalness
Llama-3.2-8B-Instruct,3.185,1.112,200,5,Naturalness
Llama-3.2-1B-Instruct,2.975,1.226,200,6,Naturalness
Claude_Sonnet_4.5,3.645,1.075,200,1,Word Usage
Gemini_Pro_2.5,3.58,1.019,200,2,Word Usage
mistralai_Ministral-8B-Instruct-2410,3.5,1.037,200,3,Word Usage
Llama-3.2-1B-Instruct-FineTuned,3.41,1.131,200,4,Word Usage
Llama-3.2-8B-Instruct,3.41,1.038,200,5,Word Usage
Llama-3.2-1B-Instruct,3.205,1.166,200,6,Word Usage
