model,criterion,mean,std,count
Claude_Sonnet_4.5,Grammatical Accuracy,4.05,0.819,200
Claude_Sonnet_4.5,Level Appropriateness,4.04,0.82,200
Claude_Sonnet_4.5,Naturalness,3.845,0.957,200
Claude_Sonnet_4.5,Word Usage,3.985,0.882,200
Gemini_Pro_2.5,Grammatical Accuracy,3.99,0.839,200
Gemini_Pro_2.5,Level Appropriateness,3.955,0.828,200
Gemini_Pro_2.5,Naturalness,3.705,1.06,200
Gemini_Pro_2.5,Word Usage,3.955,0.893,200
Llama-3.2-1B-Instruct,Grammatical Accuracy,3.94,0.793,200
Llama-3.2-1B-Instruct,Level Appropriateness,3.965,0.773,200
Llama-3.2-1B-Instruct,Naturalness,3.71,0.944,200
Llama-3.2-1B-Instruct,Word Usage,3.875,0.856,200
Llama-3.2-1B-Instruct-FineTuned,Grammatical Accuracy,4.065,0.869,200
Llama-3.2-1B-Instruct-FineTuned,Level Appropriateness,4.02,0.891,200
Llama-3.2-1B-Instruct-FineTuned,Naturalness,3.82,0.976,200
Llama-3.2-1B-Instruct-FineTuned,Word Usage,3.995,0.911,200
Llama-3.2-8B-Instruct,Grammatical Accuracy,4.03,0.966,200
Llama-3.2-8B-Instruct,Level Appropriateness,4.105,0.888,200
Llama-3.2-8B-Instruct,Naturalness,3.96,0.929,200
Llama-3.2-8B-Instruct,Word Usage,4.065,0.897,200
mistralai_Ministral-8B-Instruct-2410,Grammatical Accuracy,3.935,0.815,200
mistralai_Ministral-8B-Instruct-2410,Level Appropriateness,4.015,0.836,200
mistralai_Ministral-8B-Instruct-2410,Naturalness,3.785,0.929,200
mistralai_Ministral-8B-Instruct-2410,Word Usage,3.91,0.875,200
