word,model,sentence_label,sentence,criterion,criterion_tr,rating,participant_id
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,2,0
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,4,1
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,4,2
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,4,3
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,3,4
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,3,5
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,3,6
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,4,7
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,3,8
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,4,9
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,2,10
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,2,11
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,3,12
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,3,13
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,5,14
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,4,15
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,5,16
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,3,17
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,4,18
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Word Usage,Kelime Kullanımı,3,19
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,3,0
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,5,1
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,4,2
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,5,3
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,5,4
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,4,5
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,3,6
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,5,7
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,3,8
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,4,9
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,5,10
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,4,11
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,4,12
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,4,13
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,5,14
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,4,15
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,3,16
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,4,17
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,4,18
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Level Appropriateness,Anlaşılırlık,4,19
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,2,0
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,4,1
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,4,2
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,4,3
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,3,4
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,3,5
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,2,6
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,4,7
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,3,8
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,3,9
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,5,10
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,2,11
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,4,12
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,2,13
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,5,14
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,3,15
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,5,16
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,4,17
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,3,18
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Grammatical Accuracy,Dilbilgisi Doğruluğu,4,19
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Naturalness,Doğal Kullanım,3,0
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Naturalness,Doğal Kullanım,4,1
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Naturalness,Doğal Kullanım,3,2
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Naturalness,Doğal Kullanım,1,3
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Naturalness,Doğal Kullanım,3,4
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Naturalness,Doğal Kullanım,3,5
ability,mistralai_Ministral-8B-Instruct-2410,Sentence A,She has the ability to play the piano beautifully.,Naturalness,Doğal Kullanım,3,6
