model,level,word_usage,clarity,grammar,naturalness,overall
Claude Sonnet 4,A1,4.7,5.0,4.7,4.5,4.725
Claude Sonnet 4,A2,5.0,5.0,5.0,5.0,5.0
Claude Sonnet 4,B1,4.8,4.95,5.0,4.65,4.85
Claude Sonnet 4,B2,5.0,4.95,5.0,5.0,4.9875
Claude Sonnet 4,C1,5.0,4.8,5.0,5.0,4.95
GPT-4-turbo,A1,4.6,4.9,5.0,4.95,4.8625
GPT-4-turbo,A2,5.0,4.9,5.0,5.0,4.975
GPT-4-turbo,B1,5.0,5.0,5.0,5.0,5.0
GPT-4-turbo,B2,5.0,4.85,4.6,4.65,4.775
GPT-4-turbo,C1,5.0,4.3,4.95,4.9,4.7875
Gemini 2.5 Flash,A1,4.8,4.95,4.7,4.6,4.7625
Gemini 2.5 Flash,A2,4.95,4.9,5.0,4.35,4.8
Gemini 2.5 Flash,B1,5.0,5.0,5.0,4.95,4.9875
Gemini 2.5 Flash,B2,5.0,4.95,5.0,4.8,4.9375
Gemini 2.5 Flash,C1,5.0,4.75,4.95,4.95,4.9125
Llama-3.2-3B-Instruct-Q4_K_M.gguf,A1,4.6,4.1,5.0,5.0,4.675
Llama-3.2-3B-Instruct-Q4_K_M.gguf,A2,4.9,4.55,5.0,4.65,4.775
Llama-3.2-3B-Instruct-Q4_K_M.gguf,B1,4.65,4.9,5.0,4.45,4.75
Llama-3.2-3B-Instruct-Q4_K_M.gguf,B2,4.95,4.95,4.9,4.65,4.8625
Llama-3.2-3B-Instruct-Q4_K_M.gguf,C1,3.9,3.8,4.95,3.8,4.1125
Llama-3.2-8B-Instruct/Llama-3.2-8B-Instruct-Q4_K_M.gguf,A1,4.5,4.85,5.0,4.6,4.7375
Llama-3.2-8B-Instruct/Llama-3.2-8B-Instruct-Q4_K_M.gguf,A2,4.95,4.55,5.0,4.9,4.85
Llama-3.2-8B-Instruct/Llama-3.2-8B-Instruct-Q4_K_M.gguf,B1,4.6,5.0,5.0,4.5,4.775
Llama-3.2-8B-Instruct/Llama-3.2-8B-Instruct-Q4_K_M.gguf,B2,5.0,5.0,5.0,4.9,4.975
Llama-3.2-8B-Instruct/Llama-3.2-8B-Instruct-Q4_K_M.gguf,C1,4.15,3.9,4.9,3.9,4.2125
Ministral-8B-Instruct-2410.Q4_K_M.gguf,A1,4.6,4.95,4.7,4.65,4.725
Ministral-8B-Instruct-2410.Q4_K_M.gguf,A2,4.95,5.0,5.0,4.9,4.9625
Ministral-8B-Instruct-2410.Q4_K_M.gguf,B1,4.85,5.0,5.0,4.75,4.9
Ministral-8B-Instruct-2410.Q4_K_M.gguf,B2,4.75,4.9,5.0,4.35,4.75
Ministral-8B-Instruct-2410.Q4_K_M.gguf,C1,4.25,3.25,5.0,4.25,4.1875
