model,criterion,mean,std,count
Claude_Sonnet_4.5,Grammatical Accuracy,4.084,0.875,190
Claude_Sonnet_4.5,Level Appropriateness,4.142,0.882,190
Claude_Sonnet_4.5,Naturalness,3.974,0.962,190
Claude_Sonnet_4.5,Word Usage,4.153,0.869,190
Gemini_Pro_2.5,Grammatical Accuracy,3.979,0.897,190
Gemini_Pro_2.5,Level Appropriateness,3.942,0.892,190
Gemini_Pro_2.5,Naturalness,3.711,1.016,190
Gemini_Pro_2.5,Word Usage,3.989,0.903,190
Llama-3.2-1B-Instruct,Grammatical Accuracy,3.847,0.944,190
Llama-3.2-1B-Instruct,Level Appropriateness,3.8,0.961,190
Llama-3.2-1B-Instruct,Naturalness,3.563,1.056,190
Llama-3.2-1B-Instruct,Word Usage,3.916,0.881,190
Llama-3.2-1B-Instruct-FineTuned,Grammatical Accuracy,4.032,0.89,190
Llama-3.2-1B-Instruct-FineTuned,Level Appropriateness,4.0,0.903,190
Llama-3.2-1B-Instruct-FineTuned,Naturalness,3.674,1.126,190
Llama-3.2-1B-Instruct-FineTuned,Word Usage,3.979,0.943,190
Llama-3.2-8B-Instruct,Grammatical Accuracy,3.921,0.86,190
Llama-3.2-8B-Instruct,Level Appropriateness,3.895,0.937,190
Llama-3.2-8B-Instruct,Naturalness,3.563,1.147,190
Llama-3.2-8B-Instruct,Word Usage,3.947,0.93,190
mistralai_Ministral-8B-Instruct-2410,Grammatical Accuracy,4.079,0.931,190
mistralai_Ministral-8B-Instruct-2410,Level Appropriateness,4.174,0.814,190
mistralai_Ministral-8B-Instruct-2410,Naturalness,3.816,1.06,190
mistralai_Ministral-8B-Instruct-2410,Word Usage,4.111,0.893,190
